lemme,cgram,genre,freqlem,forms
château,NOM,m,55.856,"château, châteaux"
folie,NOM,f,55.730000000000004,"folie, folies"
son,NOM,m,55.641999999999996,"son, sons"
horreur,NOM,f,55.498,"horreur, horreurs"
nombre,NOM,m,55.44799999999999,"nombre, nombres"
couple,NOM,,55.368,"couple, couples"
passion,NOM,f,55.324000000000005,"passion, passions"
mine,NOM,f,55.2,"mine, mines"
i,NOM,,55.18599999999999,i
vaisseau,NOM,m,55.006,"vaisseau, vaisseaux"
anniversaire,NOM,m,54.862,"anniversaire, anniversaires"
patte,NOM,f,54.816,"patte, pattes"
demande,NOM,f,54.812,"demande, demandes"
déjeuner,NOM,m,54.668000000000006,"déjeuner, déjeuners"
solution,NOM,f,54.58,"solution, solutions"
directeur,NOM,m,54.205999999999996,directeur/directrice directeurs/directrices
souci,NOM,m,54.17,"souci, soucis"
rencontre,NOM,f,54.111999999999995,"rencontre, rencontres"
poil,NOM,m,54.002,"poil, poils"
existence,NOM,f,53.932,"existence, existences"
sable,NOM,m,53.758,"sable, sables"
personnage,NOM,m,53.756,"personnage, personnages"
toile,NOM,f,53.442,"toile, toiles"
base,NOM,f,53.316,"base, bases"
titre,NOM,m,53.298,"titre, titres"
gorge,NOM,,53.25,"gorge, gorges"
figure,NOM,f,53.244,"figure, figures"
costume,NOM,m,53.20400000000001,"costume, costumes"
baiser,NOM,m,53.138000000000005,"baiser, baisers"
amitié,NOM,f,53.122,"amitié, amitiés"
commandant,NOM,m,53.064,"commandant, commandants"
somme,NOM,,52.854,"somme, sommes"
