word,pos,definition
Tabagiste,n.,Marchand de tabac.
Tabletter,vt.,Enterrer un dossier.
Tapissage,n.m.,Pose du papier peint.
Tapocher,vt.,Frapper.
Taponner,vt.,"Manipuler, palper."
Tartinade,n.f.,Préparation pour tartines.
Tataouiner,vi. fam.,Tergiverser.
Taxage,n.m.,Action d'extorquer.
Téléavertisseur,n.m.,Appareil de radiomessagerie.
"Téléjournal, Aux",n.m.,Journal télévisé.
Téléroman,n.m.,Feuilleton télévisé.
Téléuniversité,n.f.,Université qui enseigne à distance.
Terrazzo,n.m.,Procédé de revêtement.
Tet,n.m.,"Tet à brebis, bergerie. - Tet à cochons, porcherie. - Tet à poules, poulailler."
"Téteux, Euse",adj et n. fam.,Flatteur.
Texter,vt.,(Ou TEXTOTER) Communiquer par texto.
Tiger,vt.,Produire des tiges.
Tiguidou /,adv. fam.,"Très bien, parfait."
Tire,n.f.,Friandise faite d'une pâte de sucre refroidie et étirée après cuisson.
"Tocson, Onne",adj et n.,"Têtu, rude."
Toler,vt.,Recouvrir de tôles.
Touladi,n.m.,Grande truite d'eau douce.
Toutou,n.m.,"Animal en peluche, dans le langage enfantin."
Traînerie,n.f.,Objet laissé à la traîne.
"Traîneux, Euse",adj et n.,Traînard.
Trappage,n.m.,Piégeage d’animaux sauvages.
Trapper,vt.,Chasser les animaux à fourrure.
"Travaillant, E",n. et adj.,Ouvrier.
Traversier,n.m.,Bac.
Trempette,n.f.,Sauce assaisonnée dans laquelle on trempe des crudités.
Tricoler,vi.,"En Acadie, tituber."
"Tripant, E",adj.,Ou TRIPPANT) Très excitant.
"Troupier, Ère",n.,Membre d'une équipe sportive.
Tuque,n.f.,Bonnet de laine orné d'un pompon.
Turluter,vt.,Chantonner.
"Turluteur, Euse",n.,Personne qui chantonne.
"Unifamilial, E, Aux",adj.,Habitation à l'usage d'une seule femme.
Urgentologue,n.,Urgentiste.
Vacher,vt.,Paresser.
Vainqueure,adj.f et n.f.,Féminin de vainqueur.
Valdrague /,n.f.,"A la valdrague : en Acadie, à l'abandon."
Vaser,v.pr.,Se couvrir de vase.
"Versant, E",adj.,Qui chavire facilement.
Virailler,vi.,Tourner en tous sens.
"Virailleur, Euse",n.,Personne qui perd son temps au travail.
Visionnement,n.m.,Visionnage.
Visou /,n.m.,Avoir du visou : être adroit.
Vivoir,n.m.,Salle de séjour.
"Vlimeux, Euse",adj et n. fam.,Espiègle.
Voyagement,n.m.,(= VOYAGEAGE) Ensemble d'allées et venues.
Webcaméra,n.f.,Webcam.
Woh /,interj. fam.,C'est assez.
Zec,n.f.,Zone de chasse et de pêche contrôlée par l'État.
Zigonner,vi. fam.,Hésiter.
Zirable,adj.,"En Acadie, dégoûtant."
Zire,n.f.,"Faire zire : En Acadie, dégoûter."
Zucchini,n.m.,Courgette.
"Abitibien, Enne",adj.,De l'Abitibi.
"Acadien, Enne",adj. et n.m.,D'Acadie.
"Almatois, E",adj.,D'Alma.
"Boisbriannais, E",adj.,De Boisbriand.
"Brossardois, E",adj.,De Brossard.
"Charlevoisien, Enne",adj.,De Charlevoix.
"Chibougamois, E",adj.,De Chibougamau.
